冮 	\nr\
揳入 	\v\
Ａ大调 	\n\
ＢＰ机 	\n\
ＣＣＴＶ杯 	\nz\
Ｃ大调 	\n\
Ｄ大调 	\n\
ＰＣ机 	\n\
Ｔ型台 	\n\
Ｔ恤衫 	\n\
Ｘ光 	\n\
Ｘ光机 	\n\
Ｘ光片 	\n\
Ｘ染色体 	\n\
Ｘ射线 	\n\
啊 	\e/y\
啊啊 	\e\
阿 	\j\
阿北乡 	\ns\
阿比让 	\ns\
阿比让人 	\n\
阿比让市 	\ns\
阿比托 	\ns\
阿波罗 	\nr/nz\
阿布哈兹 	\ns\
阿布哈兹自治共和国	\ns\
阿布扎比 	\nr/ns\
阿昌族 	\nz\
阿尔 	\ns\
阿尔巴尼亚 	\ns\
阿尔巴尼亚人 	\n\
阿尔巴尼亚族 	\nz\
阿尔贝维尔 	\ns\
阿尔法粒子 	\n\
阿尔法镇 	\ns\
阿尔及尔 	\ns\
阿尔及利亚 	\ns\
阿尔及利亚民主人民共和国 	\ns\
阿凡提大叔美食城	\ns\
阿方 	\n\
阿富汗 	\ns\
阿哥 	\n\
阿根廷 	\ns\
阿克莫拉 	\ns\
阿拉伯 	\ns\
阿拉伯地区	\ns\
阿拉伯联合酋长国	\ns\
阿拉伯人 	\n\
阿拉伯数字	\nz\
阿拉木图 	\ns\
阿拉善 	\ns\
阿勒菲 	\ns\
阿勒菲大街	\ns\
阿勒锦 	\nz\
阿里 	\ns\
阿里地区	\ns\
阿里法拉比 	\ns\
阿里高原	\ns\
阿联酋 	\ns\
阿妈 	\n\
阿盟 	\j/ns/nz\
阿盟大街	\ns\
阿姆斯特丹 	\ns\
阿婆 	\n\
阿其克谷地 	\ns\
阿塞拜疆 	\ns\
阿塞拜疆省 	\ns\
阿什哈巴德 	\ns\
阿式 	\b\
阿塔科拉省 	\ns\
阿通社 	\j\
阿西西城 	\ns\
阿姨 	\n\
埃 	\j\
埃镑 	\n/q\
埃博拉 	\n\
埃菲社 	\j\
埃夫拉特 	\ns\
埃及 	\ns\
埃及国家博物馆	\ns\
埃居 	\q\
埃雷迪亚 	\ns\
埃雷迪亚市 	\ns\
埃塞俄比亚 	\ns\
埃特纳 	\ns\
挨 	\v\
挨打 	\v\
挨冻 	\v\
挨饿 	\v\
挨个儿 	\d\
挨家挨户 	\i\
